	TCGA-A7-A0CE-11A-21R-A089-07	TCGA-A7-A0CH-11A-32R-A089-07	TCGA-A7-A0D9-11A-53R-A089-07	TCGA-A7-A0DB-11A-33R-A089-07	TCGA-A7-A13E-11A-61R-A12P-07	TCGA-A7-A13F-11A-42R-A12P-07	TCGA-A7-A13G-11A-51R-A13Q-07	TCGA-AC-A23H-11A-12R-A157-07	TCGA-AC-A2FB-11A-13R-A17B-07	TCGA-AC-A2FF-11A-13R-A17B-07	TCGA-AC-A2FM-11B-32R-A19W-07	TCGA-BH-A0AU-11A-11R-A12P-07	TCGA-BH-A0AY-11A-23R-A089-07	TCGA-BH-A0AZ-11A-22R-A12P-07
10863	7.948552375	6.438868351	4.484453968	3.12631213	6.241237664	6.036964817	3.532740852	6.971764252	7.351987792	8.27645293	6.790594817	6.947626419	6.407913539	6.721773201
11086	1.823627093	0.460585313	0	0	0	0	0	0.44127099	2.106850796	2.026410568	0.493442391	5.837118249	2.636311398	1.500241179
2515	0	2.462942273	0	0	0	0	0	0	0	1.261350279	0	0	0	0.383828687
11085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203102	3.992822803	5.40506656	3.831704999	4.797225734	4.920002636	5.372015295	4.977289083	4.761306552	5.258696047	5.899279574	3.97102846	5.89704192	3.569199413	5.680701299
80332	9.696448758	9.432905138	9.081723357	9.342727623	9.352722999	9.793431476	9.132452946	9.538812445	9.684153539	8.95340552	9.314307027	8.686695558	9.410801542	9.752841399
1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255926	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383828687
8755	16.16116088	16.17121708	10.76205044	8.683193599	13.94281667	16.0607987	11.20652357	15.27473165	17.01279098	16.63693978	16.54413839	15.66757893	16.46287023	14.37184718
8756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	6.888259835	7.824449651	6.5416217	5.042591811	5.74666211	5.913430395	3.630719978	5.186801616	6.427827387	7.903098542	7.292700779	6.678415631	4.994109007	6.491917215
8754	10.64046015	10.84535989	11.11630555	11.99539929	11.20635238	10.58561814	11.25902309	11.15000217	11.11088729	11.59275246	10.11089094	10.3117793	10.80794983	11.10840194
27299	3.63559189	5.629910276	2.019701914	1.348459062	3.138552375	0.535057595	0.492314685	2.194748976	1.767866632	7.960874817	2.344345625	0	3.811830632	6.385484533
81794	7.0176035	8.716806089	8.584557061	7.238404739	7.883663578	8.378670276	6.647131714	6.303842838	7.637710945	6.927446134	7.351526745	7.17037377	7.267193998	7.320170544
81792	5.612839017	7.130962778	9.364901335	8.511426528	8.943433784	8.405664824	9.189224629	6.434920073	6.971343517	8.926008317	5.267550779	6.139592279	7.303383496	7.99898412
11093	7.028169085	5.596657904	4.88328845	4.714668646	4.489767697	5.996949083	5.067535467	4.125932076	4.779264974	6.034583299	6.974943385	7.145884267	5.516727491	7.426243785
140766	5.323643881	2.64745267	2.722640886	7.060417092	4.920002636	3.032911911	3.056583528	2.749534268	3.235589216	6.713627087	2.344345625	3.182946495	3.211152405	4.813929941
170689	8.584425523	8.751213641	9.169542486	8.689493813	9.268489602	8.531796273	8.537124418	6.145141439	7.701621134	8.529794794	6.93222184	8.111570761	7.399394147	9.883226428
170690	6.630743272	6.835559061	6.273790006	9.074527646	9.496082203	6.862970797	7.564438381	8.01671749	7.903528809	7.663644912	5.398859958	4.610977568	7.230072329	8.01607227
170691	6.505276447	5.596657904	4.780131589	5.811332303	5.010130838	4.780992435	4.495279433	5.837357974	5.012166379	5.885706134	5.327389167	5.467171861	5.178611076	6.21837046
170692	4.651166528	6.117969262	6.985997865	7.733731914	7.981598676	6.722808897	6.864113079	4.065555079	5.077858235	8.575953655	5.327389167	6.584347722	7.254925618	7.743930946
171019	1.823627093	2.558145159	1.60250439	5.212666605	2.555570778	2.333795809	0.492314685	2.303342394	1.767866632	5.365996915	1.603691617	2.444905553	1.453701937	5.017712613
9510	11.81290946	12.05999447	12.80807333	12.0811368	12.20694069	12.24260343	11.94844013	10.66410235	11.61633104	10.72803775	11.67640794	10.53407503	12.19246704	11.75793919
80070	0.397802962	0	0	0	0	0	0	0	0.37928825	0.355467388	0	0	0	0
9509	9.150512967	9.729224415	10.430263	10.81210284	10.39878516	10.25016066	9.24443686	9.070712932	9.495929158	9.085156665	8.269145853	7.459162728	8.480131802	9.645877972
9508	6.689609474	6.045884135	7.338924422	6.365330348	7.134825701	6.094979187	7.862956544	8.769703318	7.851888308	6.963426727	5.948757349	5.343407822	7.747608943	7.01824581
9507	7.887969952	7.995794281	8.678985628	7.914123181	8.99814359	8.382557456	7.417749582	4.642326122	6.60315897	8.021089907	8.354312423	5.89704192	7.974040531	8.197786777
11096	10.45322165	10.89720934	11.37602921	13.03820307	11.78164589	11.70951544	11.52439137	11.73172051	11.49367785	10.13563747	9.653277537	10.84546935	11.16749994	11.484309
11174	5.192020526	4.690623819	5.780611941	6.88905732	5.175073439	4.872296883	4.41504877	5.186801616	5.507826347	5.074484029	2.831370588	3.574125735	4.782497682	4.750000789
11173	6.140038308	7.770798659	7.456507199	7.62114564	7.464696036	7.140561908	6.737876008	5.581158393	6.437870229	7.49956848	6.409613264	5.239222353	5.29502134	7.48388106
11095	8.946558349	5.607827403	3.667982929	3.898933872	5.637778315	4.34401178	1.782408565	4.835504743	5.926851022	8.975702975	7.307633439	5.652426262	4.561246697	7.008033017
56999	9.557235839	9.099678659	9.463919732	9.616586703	10.00839711	9.296343373	10.1879884	8.829931039	9.319782069	10.68117234	7.681751435	8.546767158	9.538399839	8.874014925
92949	7.284667737	7.464721354	7.877841776	9.429741065	9.452542311	7.251006089	8.950400174	9.538118105	9.196552704	7.98812454	6.680180868	6.860008049	7.729989782	8.925568978
9719	6.120422448	6.201447632	5.883738104	6.009035827	7.217552572	6.056561853	5.751329815	4.888748119	6.991937872	4.8691015	6.993531715	5.176127261	5.357552005	5.208181674
57188	6.19107896	7.224639407	8.59788942	9.694043716	9.37515632	8.333194716	9.837931892	8.52261723	9.108920098	7.938041675	5.808825206	6.430638208	7.875982744	7.633110027
54507	9.088767307	10.19318356	10.57163491	11.22103271	10.22971036	9.614097489	10.84386265	10.51120798	10.67340245	8.293257815	9.275376337	8.460032343	9.332960741	8.935482732
339366	6.689609474	5.917107089	4.234256048	5.743549974	5.798169784	4.466274723	4.546388271	6.195316098	5.573065448	6.353337407	6.680180868	5.093167167	5.981256734	6.586467528
11033	7.725411933	7.645967471	6.821427056	7.395103083	6.775543124	6.411614367	4.964569601	5.50942349	6.836646251	6.662527392	8.489157147	6.78041772	6.503237412	6.952165801
55803	8.401489252	8.744903448	8.776014146	9.741727524	9.017287807	8.596822241	8.459250041	8.008722734	8.66112571	8.544986063	7.892036381	6.834694785	7.697118393	7.23223959
104	9.615615109	9.769570598	9.715297958	9.62602894	10.12139882	9.678758572	9.735667204	9.453767568	9.604117297	9.496928456	9.233959701	9.633379259	9.630702325	9.606933148
105	3.05338942	3.527483262	1.826111164	3.038523977	0.982436918	3.183105345	0	2.824319805	1.323888827	2.37620702	3.060203062	2.333652715	1.453701937	3.87935289
103	12.7486022	12.44525506	12.24778677	12.42466684	12.59127965	12.47496383	12.77619177	12.97445607	12.74364996	13.07081161	11.94928224	12.75909864	12.56823496	12.754998
23536	8.182512545	7.686384967	8.523984902	8.451083737	8.470562488	8.349175055	8.746949247	8.094322118	7.930451135	8.511130382	6.639447799	8.155167857	7.824336355	8.433536203
134637	7.18432394	6.84502957	6.50164614	7.060417092	6.797856033	7.460443609	7.481512882	7.845495069	6.925688541	7.92814407	6.430226721	8.06878795	7.135095658	7.405643553
113179	5.720989786	5.651663092	3.667982929	3.947946628	4.358670539	4.06317502	3.314217965	3.638073837	4.825892452	4.32210842	6.847902978	4.537575632	4.507103249	3.937909306
100	6.588536255	7.16539143	7.680712549	8.049399339	7.654823602	7.242474845	7.199616403	7.362127059	6.967883321	6.713627087	6.450551443	5.86738995	7.047716141	6.114306634
57143	7.499845887	8.125807607	7.59971576	7.77165981	7.665264136	7.722112138	6.715720434	6.856216346	7.427006881	7.669598003	7.605252817	7.465772897	7.14842167	7.360867271
90956	9.798510359	9.92053761	8.931537988	9.132652152	8.867102331	9.573012035	8.915590213	9.092626077	9.528012541	9.808375718	10.19561409	9.681738963	9.223896725	9.227961475
79934	9.22893314	9.154981099	8.626051032	8.291728326	8.372025311	8.91666503	8.075791989	8.399609904	8.803848264	8.983688809	9.869974862	9.155704714	8.689086305	8.891713845
203054	7.093344668	6.757466018	5.767186005	5.771045698	5.094958081	6.056561853	5.94471089	4.443155739	5.85372125	6.425467697	7.964493938	6.766723684	5.622371081	6.77494252
55811	2.99712979	3.704396151	1.60250439	2.033088169	0.573277568	0.924556002	2.341046409	0.778713221	1.767866632	3.230126141	0.860525852	1.387527978	2.015604611	2.47822115
107	9.4545767	9.032878033	6.991781451	7.74070229	8.420081485	8.015391635	7.834965242	7.447411412	10.31729344	8.751785381	8.578642145	11.9726868	11.4152136	9.693922314
108	6.172149444	7.326190366	6.235307744	6.427128436	4.89656249	5.869782592	6.197454583	7.653745794	6.70645872	7.159468738	6.041001987	6.541181819	6.086539645	6.662232564
109	10.63938666	10.45335625	10.51424301	11.21947107	10.84439625	10.55757465	10.83664949	10.73940993	10.94114065	10.82282669	10.3877327	10.00760899	10.40859278	10.42462401
196883	8.544504706	9.337997132	9.274089935	9.175723188	9.2933829	9.411168387	9.730151333	8.398080541	8.973953886	8.507811683	8.398572696	8.646149333	9.562657235	8.518731828
111	8.610439114	9.447744895	9.552669098	9.233693727	9.480401055	9.846466362	10.27484589	7.876579564	8.532310725	7.916510084	8.118509237	8.033623974	8.596514046	7.939322386
112	10.77016568	11.42740373	12.50585449	11.57677163	11.94050917	11.55230655	12.69552648	10.50553757	11.08855115	11.21094427	11.04629508	11.43006485	11.18511782	11.18330568
113	8.55914953	9.109535296	10.25800463	10.42923421	9.908668523	9.657257882	9.116041613	9.221006785	9.860790425	9.484600382	7.776032905	8.666378474	8.521685625	8.487217009
114	1.823627093	2.003206431	0.593784005	5.628003641	2.29372361	0.535057595	1.393251437	5.916407374	2.611550123	1.082566351	0.860525852	1.594739622	2.296604239	1.33571191
115	9.888235934	9.54320006	9.284728804	9.885460582	9.655566678	9.65886162	9.356975031	9.781602984	10.02758481	9.620384984	9.227103509	9.882834988	9.960946327	9.859754357
117	1.823627093	2.731552559	6.691285692	5.130131896	5.391750538	5.433269954	5.119090524	5.873025701	5.868647261	6.694292412	0.493442391	4.433500317	5.342170696	4.933874742
116	6.328497216	1.324522612	2.722640886	2.204203332	6.480743356	0	0.492314685	1.949534933	4.029876886	3.313594147	5.267550779	2.73489384	3.141776093	5.376411946
113451	7.319493297	7.059539151	5.434985105	5.771045698	5.565301661	6.817746035	5.925534264	6.860664895	7.253082571	6.75527484	8.164349345	7.805091207	7.165999342	7.395232498
118	12.48157121	12.83856231	13.28815042	12.97873441	12.94773944	12.79319513	12.97371656	12.85635096	12.98513162	12.49161448	12.60014371	12.57836352	12.67950878	12.56408114
119	5.593999074	5.67308996	5.595512612	6.281774277	6.213049768	6.017095684	6.036951634	6.062590184	6.759471455	5.632969032	4.781831791	5.945144146	6.140884973	4.576558416
120	11.06214256	11.30471175	11.83315013	12.38489777	11.81758161	11.29642563	12.11944577	12.52165881	12.01160214	12.25898356	10.36623838	11.55428393	11.53842094	11.91524907
124	5.265298111	7.134829808	9.175741398	9.730741498	7.594189473	7.969606399	11.25705395	8.328582933	7.693261127	3.958926173	4.333996118	4.703377603	7.38445568	3.754577557
125	11.89697504	13.90622837	15.9443924	16.48049988	14.46384578	14.63662673	17.97353593	15.21222059	14.23840339	10.48021028	12.90957654	11.86662459	13.49724983	10.77313121
126	7.251989809	8.820063415	10.06235394	8.213718116	8.009181988	8.483745253	9.596336069	8.773247364	8.958341298	7.383641227	7.935945868	6.75057167	8.359272096	8.096997078
127	6.853037523	6.512037212	2.722640886	4.128854267	5.473231672	5.387572781	4.330092245	7.093934069	5.128338773	4.579831821	5.733416711	0.854554259	2.99213394	1.33571191
128	11.73524037	11.73210224	12.44510706	12.09870704	11.90552559	11.74957579	12.71502923	12.13644555	11.8946825	11.53373683	11.56041309	11.60775155	11.83647923	11.65042105
130	1.371447346	0	2.722640886	3.898933872	1.973574542	1.698307394	2.452437294	2.587220954	0.927517246	1.261350279	0	1.387527978	1.851479213	0.68670221
131	5.166739543	5.775701136	5.625583195	5.771045698	0	0	1.94362132	0	0.37928825	0	0	0	6.201804387	0
137872	7.504897624	7.720231259	9.168266201	9.141896383	8.828915234	8.523017706	10.73413209	7.771824849	7.57766674	7.00796016	7.27000746	7.746574782	7.712153468	7.960662292
55256	10.60472973	11.42799464	11.48485879	11.46125264	11.27953282	10.91476003	11.07817823	10.52213139	10.99174943	10.38060565	10.8726598	10.41444646	10.96273886	10.22602389
149685	0	0	0.593784005	0	0	0	0	0	0.37928825	0.355467388	0.860525852	0.489645688	0	0
9370	10.36429107	14.51134049	16.88486584	15.66132386	15.82262179	14.8496067	18.16106459	13.56712058	13.48121438	8.002344727	11.93417608	11.70385267	14.06848988	3.908928165
51094	11.22196104	11.22489265	11.36715781	11.08695012	11.18141325	11.19700451	11.35106295	11.22049109	11.14806361	10.99761053	10.98839165	11.28318138	11.04371086	10.91151895
79602	11.22483436	11.74322479	12.702599	11.78307841	12.7171427	12.6575999	12.89848882	11.12248125	11.54306716	10.80891994	10.75297809	11.05177347	11.63585608	10.80371276
132	8.854571712	8.742371758	9.059578626	8.656701219	8.907239505	8.476488217	8.538703049	8.471178517	8.756488606	8.591714194	8.74968644	8.107348913	8.900735511	8.253605007
79924	7.021134337	7.142530867	2.342924474	2.845108627	4.823866524	5.924137901	2.452437294	5.22870327	6.120096841	7.575508237	7.091696661	7.252953943	6.651987345	6.401178188
133	7.850757551	10.15752101	10.62935106	9.188525054	9.988440998	10.60529699	9.918346129	9.044557233	8.82600213	7.270692451	9.2103158	7.812889651	10.09373327	8.683949044
22850	9.230458823	9.133886621	9.154153051	8.92802234	9.313435429	9.358850066	9.800262353	9.646431625	9.238809545	9.58092181	8.713702	9.55417229	9.365656891	9.637068598
23394	11.27152787	10.88549665	10.93570968	10.90306652	11.15572685	11.28036736	11.27023096	11.84592691	11.34468572	11.61747077	10.41014009	11.76794143	11.3489446	11.68355282
134	8.519760862	7.959195188	7.754002912	7.146915848	8.4262333	8.882757054	8.666931948	8.026649586	8.251195973	8.995585142	8.993120679	9.384002519	7.721099189	8.022851035
135	6.29313134	7.38255832	5.254329484	5.534833557	6.19481397	6.177848047	5.216664386	5.347569993	6.376540444	6.784825884	7.034500766	6.515923715	5.961259831	5.880528809
136	7.284667737	5.492032621	4.858184948	6.172607522	5.391750538	6.322470807	2.827819025	6.629953976	7.093897107	6.713627087	7.121580139	6.82957941	6.748484043	6.395965915
140	8.532185636	7.385806331	6.509730674	8.971632355	6.976157391	8.050024384	6.0809518	7.896214319	8.110746377	7.894652874	7.465769633	6.204269859	6.742639542	6.16421306
84890	9.272537179	9.157833984	8.920968214	9.018271964	9.291137539	9.211468806	9.116041613	9.747778435	9.384168342	9.820910817	9.544025313	9.406511585	9.252973805	9.137942516
83440	9.851704386	9.653764779	9.561445478	9.965070262	9.656299538	9.770725002	9.772813368	9.728587887	9.654662519	9.952519367	9.669263686	9.849966118	9.692471487	9.825400071
113622	6.311297842	6.626297489	5.640383775	5.346627194	6.719870666	6.846177363	6.312650654	5.644447574	5.933962057	6.146946387	6.136092928	7.120971871	6.555256327	6.247602871
54936	9.554801979	9.498138951	8.603565891	8.864026696	8.805508186	9.323897607	8.038343442	8.46680818	9.230889875	9.315208447	10.18099008	9.170955809	9.315346589	8.896335432
141	8.925989927	8.923143831	8.936044251	9.61469089	9.452542311	9.156904458	9.089363083	9.103927961	9.200244648	8.643040115	8.473318544	8.426537331	9.149636627	8.488441902
148	3.742114032	5.562617934	6.5416217	6.347176644	4.89656249	6.424040284	7.993004594	3.507997554	5.038804886	2.837519451	3.634500338	4.657920057	5.543873211	3.467109895
147	3.351388048	6.273361094	6.460532893	7.571186071	6.154967939	6.67922391	6.623525984	6.392537245	6.477353527	3.141530886	4.844611621	3.668845283	5.475029743	4.875150958
146	3.480097056	3.479631542	2.190362011	3.741046251	4.323946455	3.557875677	2.742739233	2.587220954	3.235589216	3.186500558	2.55924706	2.213098386	3.621090679	2.397063631
150	10.70635899	11.06033231	11.67388025	10.2697172	11.40734956	10.45695006	11.89660188	8.882285082	9.768313037	9.272169962	9.188296321	9.529142182	10.44010184	10.85019075
151	5.755312233	5.585401254	5.896126506	5.824515843	5.269339911	7.593852711	5.278739362	5.053250385	5.478939457	5.086401646	8.448269551	4.586920832	6.594730666	5.109732469
152	7.103370695	7.172931489	6.329656434	6.743967288	7.144808112	6.970193341	6.356270604	5.214870834	6.366059882	4.812837039	6.752902431	5.176127261	6.362895901	5.017712613
153	5.379721454	6.840302086	7.19093086	6.243027326	7.291305176	7.329628631	6.937745739	5.526209693	5.807996264	4.474961626	5.557189496	6.196341471	6.568533798	3.001910306
154	7.72867631	8.269890614	8.928525777	8.868806508	8.60317789	9.19939801	10.0145044	7.831965254	8.229680684	6.698179576	7.227453255	7.781438404	9.51201034	7.486335471
155	1.823627093	0	6.091907127	1.348459062	3.491327218	0.535057595	5.94471089	2.303342394	1.634500338	1.082566351	3.431342148	0.489645688	1.453701937	0
156	10.65132226	10.83529732	10.31447369	10.52217701	10.50770814	10.56950904	9.860196504	9.698926696	10.69554412	10.74903876	11.40960982	10.88423136	10.246121	10.48634603
157	9.602713524	10.1749932	12.32125133	12.13636024	12.01926508	10.73182465	13.43745568	10.69619296	10.39280071	9.599229817	9.242727298	10.36136943	10.47136602	10.13039797
11047	10.48999132	10.71326286	10.03810594	9.94928527	9.878326854	9.826627611	9.102230319	8.948564055	9.941091195	10.06964202	11.46539912	9.700077265	9.756411212	9.547646664
158	9.830552918	9.762715888	9.364901335	9.521640874	9.565540629	9.808681077	9.466351205	9.995946593	9.830618513	10.12737108	10.04224186	9.824236417	9.525691104	9.514360585
122622	7.29928038	7.326190366	8.422732962	8.820277586	7.154721926	7.776306688	7.708840413	6.202343273	7.209782808	7.026632989	8.114268628	6.761359747	7.311304201	6.688051641
159	10.22734856	10.05566421	9.270526139	9.580132291	9.800741874	9.844353795	9.466351205	10.52458657	10.30328611	10.40459822	10.09913751	10.35915194	10.12945098	10.34575163
165	13.37614046	13.71719215	12.94348054	13.0706345	12.80011554	12.67444549	12.14816627	13.75806445	13.56635617	12.22494337	12.92803982	11.44728634	13.08811849	13.05417317
121536	9.306206408	9.062611229	9.011995649	9.126012639	8.956244588	9.288077278	9.438718261	9.574456725	9.377661926	9.377147398	8.956874734	9.537010816	9.870029593	10.13588009
64782	8.81240645	8.916421408	7.338924422	7.56727011	8.313490302	8.347187277	6.98945127	8.219097836	8.536989648	9.012857753	9.578294185	8.823898678	8.586758364	8.397476128
166	13.08089947	13.42128437	12.49100145	12.25658258	12.876985	12.81043266	11.87239466	12.48799736	12.66441115	12.35599692	13.85961095	12.3450552	12.61567961	12.09928264
134265	7.942980081	9.048333741	9.9187206	10.16089801	10.00771354	9.718517122	11.195148	8.732564642	9.031455576	8.248886776	7.646947456	8.006676715	9.518011619	8.329385554
84632	10.13016189	9.340510419	8.707380186	9.210031059	9.46155557	9.754961806	8.636295808	10.47285612	10.37657712	10.23164289	10.35998417	9.943888809	10.02134216	10.64634981
60312	10.01357308	10.00321754	10.5560865	10.74737112	10.83579889	10.46932242	10.42748581	10.57620428	10.63162353	10.81540467	9.218240153	10.66010012	10.59409334	10.6812971
246182	2.061637969	2.361010324	3.110613806	2.033088169	1.782198856	0.924556002	1.393251437	0.778713221	1.323888827	2.29639867	2.223577006	1.77589336	1.851479213	1.500241179
4299	10.67308466	10.8107359	11.95082535	11.99175194	11.62198188	11.42214479	12.65489324	11.6876432	11.16780781	11.10364411	9.805028473	11.4723288	11.48799289	11.941201
2334	4.497439922	5.899035415	7.698503266	5.171987382	7.083850524	6.017095684	4.52105702	5.890534244	6.487058597	5.9127265	4.647429644	5.686786237	7.057167554	5.601402362
3899	11.06770109	9.634778566	9.754945276	7.401231104	10.60988273	9.90912054	9.149485734	10.08798784	9.991818858	11.32203759	10.23325021	10.83529487	9.884701394	12.50046655
27125	11.24025183	10.79463542	11.44720847	11.29452007	11.57753226	11.53603716	11.87082897	12.04875907	11.41372952	11.81725834	10.18200346	11.97789902	11.70098622	12.3245745
172	8.199750366	8.00638443	7.210902157	7.531542098	7.078652527	7.873431808	7.720014367	7.572006657	7.519749463	8.08484399	7.943136021	8.364213465	8.089075954	8.105004905
10939	10.5516106	10.31528216	10.19879763	9.952598718	10.15857775	10.16454068	10.777621	10.28544222	10.27215083	10.53040673	10.06040169	10.3751082	10.45621158	10.29055676
125061	9.253153265	10.22345429	7.858981207	7.744175226	8.547828438	9.102553946	7.284856481	9.008928296	8.939910614	9.363135149	9.730801095	9.230396376	9.02634306	9.568646275
173	0	0	0	1.022119204	0	0.535057595	0	0.44127099	0.679333711	0	0	0	0	0.383828687
174	5.475477289	6.259261187	0	0.599793852	5.835628534	0.924556002	0.492314685	4.394898224	4.698035073	1.923909795	5.312661544	3.182946495	5.570514542	9.793908072
