	TCGA-3C-AAAU-01A-11R-A41B-07	TCGA-3C-AALI-01A-11R-A41B-07	TCGA-3C-AALJ-01A-31R-A41B-07	TCGA-3C-AALK-01A-11R-A41B-07	TCGA-4H-AAAK-01A-12R-A41B-07	TCGA-5L-AAT0-01A-12R-A41B-07	TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-5T-A9QA-01A-11R-A41B-07	TCGA-A1-A0SB-01A-11R-A144-07	TCGA-A1-A0SD-01A-11R-A115-07	TCGA-A1-A0SE-01A-11R-A084-07	TCGA-A1-A0SF-01A-11R-A144-07	TCGA-A1-A0SG-01A-11R-A144-07	TCGA-A1-A0SH-01A-11R-A084-07
36	11.0612704	8.012373128	10.92808609	11.08362425	10.52195538	9.884811574	10.22962878	9.280343697	9.968686375	11.86498107	10.78239489	10.37711062	10.77838732	11.06200565
35	7.399588116	8.742835549	8.630396734	7.279132312	8.986931372	9.868608526	8.821798531	10.12149557	8.242391955	7.981610091	8.283801882	8.744750435	8.61986745	8.327967542
37	11.59232767	12.7019046	12.34618194	12.35857198	11.91744507	11.50035682	12.29713652	12.87377228	12.39651892	11.00541529	11.08016997	11.41192933	12.50287446	11.17424792
176	4.746817944	6.952949702	6.692760548	5.038159592	4.362785466	4.577567803	5.879330832	6.140792968	5.482157741	7.149048971	4.526600958	3.699918034	5.653074352	5.804652492
9744	5.105673888	8.312974142	8.28106531	7.244124992	6.934004532	7.825528707	8.852647167	4.383669736	3.187292681	5.680473458	5.789171051	7.54963529	7.249838767	5.19983329
23527	10.41703771	10.12518588	9.477141802	9.537688996	10.01012636	9.803807427	9.625555617	9.588393272	10.2165914	10.82305104	10.22744868	9.732935132	10.01882665	10.88183207
116983	11.09187355	10.18028029	10.94420099	10.09812199	9.62897677	9.876057513	9.763271966	8.659133941	8.284772289	8.427965629	9.014043352	8.520806837	9.616174246	8.555721843
38	11.2373899	9.69929933	11.20402954	9.449945932	9.065802776	9.502725214	10.19794658	11.33197096	9.703863267	10.02620056	9.98338	9.489856789	9.359588374	9.862027919
39	7.879619393	9.938245207	9.519513206	9.509295214	9.026764655	8.591385083	8.351484784	9.64082732	8.607192326	9.201469686	8.81409887	8.486030105	8.913656574	8.532861218
64746	10.52592841	10.73525417	10.52488261	10.54513187	10.38634408	10.41699033	10.5188279	11.69698391	10.49490987	10.83564188	11.5050528	10.61559019	10.29003325	11.29135244
79777	8.311709722	6.959268231	7.587188694	7.529030683	8.502641288	8.512844341	7.968026221	9.141615436	7.526334909	7.896036871	8.027769459	8.137525553	8.766609406	7.874463175
91452	9.771523803	9.40629452	9.164863695	9.414523095	9.138407998	8.974777082	8.842437405	10.68692898	9.040933241	10.06770661	10.2018785	9.656115732	9.477934495	9.34347467
84320	8.229606668	8.941000641	9.841707588	9.613558909	9.433873951	9.476829827	9.354528636	9.722157233	8.886078195	8.780288443	9.550731781	9.260187301	8.67935377	9.229184608
414149	4.746817944	6.141657581	5.353718496	4.643665741	5.940765791	5.780491212	6.740785928	7.386448848	7.529856077	4.726477038	3.952296287	4.973459743	5.442293307	3.039682373
40	6.210772633	1.061776198	1.492212122	0.499476	0.888382834	1.119820952	0	0.606915942	2.337568385	3.263244784	1.572647178	7.27423277	0	0.784336461
41	8.826172511	7.451273765	5.791738549	6.42317307	7.61705673	6.46602016	6.684741609	9.328083368	7.647976408	7.53348003	6.962723681	6.691931912	4.543508256	6.4951307
9311	7.106741941	8.530127721	5.446623475	7.27142661	4.964065877	4.744710077	3.059182199	5.921802861	3.037030731	2.727702673	5.327716103	2.892604743	4.353337407	2.41516373
55515	1.770871322	3.569916352	1.895263839	1.962067736	3.73773002	2.176195095	1.784503983	1.36120689	0.926758532	0	1.211822119	0.892818428	0.443606651	0.784336461
51802	0.427284346	0.626485863	0.931002202	0	0	0	0	0	0	0	0	0	0	0
390110	0.756425557	0	0	0	0	0	0	0	0	0	0	0.514400039	0	0
84680	8.579456617	7.701672418	9.861527094	8.029232003	8.281757589	7.71306546	8.624404349	8.578471572	8.288851313	6.507545714	7.312517245	7.166498542	7.009003345	6.208532867
65057	9.258388895	9.491590582	9.47162543	8.405236363	8.470117889	8.424469496	8.353139766	8.444105061	8.942650265	7.865664614	8.04764308	8.469369124	8.023491568	7.794580922
59272	0.756425557	1.061776198	0	3.213300617	2.138912742	2.779469857	3.725184908	4.419370343	3.386879907	1.577682599	1.572647178	2.618426617	0.443606651	0.444879056
125981	2.625247107	2.264956718	2.209921191	2.361038407	0	0	0.859969548	4.015015782	0.926758532	1.408222729	0.410449655	1.651683181	1.659924558	0
340485	6.197283542	6.085003922	5.926872365	7.150600292	6.983357339	6.735891739	6.134933485	5.472812666	5.907268051	8.399937536	7.695818475	5.396663002	7.62089427	7.874463175
55331	8.817381509	7.368241907	7.217025156	7.4996482	7.826277718	7.403890585	8.076541459	8.728319182	8.05471121	8.495603632	7.492021401	6.876833691	6.395076513	8.090571891
1636	11.73220699	11.06902186	8.672678499	9.049180672	8.653569185	8.317119522	8.535306874	10.88904568	6.173511248	9.062369999	8.286845117	8.119859849	7.730110735	9.375989472
43	3.546511748	11.51388937	3.331447262	3.653587456	3.910982042	4.712793849	4.669588082	3.45117154	4.55612895	3.652933862	3.824085542	4.372018779	4.134237371	2.205236098
22985	11.68012332	11.7797004	12.06622309	11.96703975	11.77810334	11.98108498	11.96555704	11.74855079	11.66563038	11.38267411	11.58558035	11.40943209	11.36011529	11.15770567
47	12.86923995	11.9199227	12.82815214	11.65907425	12.42837687	11.25062275	11.36406996	12.27390042	11.48173915	12.11634533	12.25071239	12.15836022	12.28459565	12.76210942
130013	7.602540021	4.701194161	2.468087998	1.164271398	1.434081067	6.169486115	0	0	0.536550296	1.408222729	2.207861624	2.146394549	4.073837367	0
57001	7.612737304	8.095031423	6.503908402	6.087997388	6.065171603	7.035892191	6.805284716	6.539937346	7.54385543	5.943473637	6.831312311	6.992984773	5.975460523	6.842515034
48	9.659167487	8.578128856	9.529405761	9.783025228	9.492151423	9.70992178	9.59699308	9.338610489	9.375338586	10.1371633	9.79421732	9.920638835	10.03673753	10.60908785
50	11.19544462	11.15528906	10.92957562	11.64924374	11.21516894	11.23739862	11.5994351	12.31823051	11.23743161	10.66111733	11.43651693	11.62534543	11.56590496	11.10964492
26027	8.005791825	3.696327732	6.127282467	4.595097816	4.706331623	5.105845667	4.669588082	6.545844845	5.245689601	5.130733227	4.701011134	5.050079362	4.628272005	3.85940309
134526	0	1.061776198	0.931002202	0	0	0	0	0	0.536550296	0	0	0	0	0
55856	9.341392505	9.82407281	9.379368619	9.035186472	8.424604281	8.919380309	8.993124077	9.579051514	8.805121525	9.167759585	8.975214304	8.88068981	8.591994254	8.853474871
641371	8.561143191	9.871650703	9.21414521	9.489510824	9.012119158	8.431840217	9.347326156	10.12892719	8.339891413	9.454002292	9.716216026	9.812758599	10.82121441	9.12292167
10965	8.506133396	8.975696097	8.538409734	8.989367249	8.54927256	8.010831299	8.62738067	9.491089869	7.956086282	8.875836571	9.292126729	8.840888049	10.25178086	8.768809247
122970	8.345733447	6.820401095	7.957141519	8.781274133	7.975207711	7.551036065	8.123674473	8.406796421	4.583495015	8.511385016	8.80064045	8.693421094	9.968911541	8.846700466
641372	2.454333844	3.194812001	2.68699348	0.869871406	2.138912742	1.119820952	0	2.220670465	1.233581332	2.493519248	1.724039016	2.97351944	5.166727494	3.56493904
11332	9.832239073	9.340052144	10.04480897	9.539294348	8.507710216	8.826079058	9.086898648	8.274156344	8.444337427	8.520511825	8.801704803	8.187142211	8.531395887	7.682379464
10005	8.330537337	9.650439852	8.85925181	7.933520708	8.30585792	8.473196354	8.745118985	8.750370681	7.612914191	8.658378954	7.592580371	8.570685299	7.811503141	7.584929439
23597	8.321068534	9.895732948	9.130270667	9.077077663	8.953886796	8.697443711	8.897717211	8.507678507	8.869498843	8.099406201	8.41755593	8.339922581	8.112506232	9.243008754
51	10.32767524	10.76260603	10.19991142	11.22876321	10.15246827	9.850865667	10.55928674	10.94638019	10.73538297	10.43860121	10.2433674	10.03777631	10.24983284	10.69771249
8309	6.802652066	9.717118256	10.2943447	6.253611152	7.228204934	8.05604968	7.03781378	5.272654044	5.003809092	6.637866688	8.859063854	6.520761666	7.332722253	4.969785959
8310	9.532624372	6.984266918	8.524269017	9.300824305	9.487027435	10.00415992	9.752298181	9.494232182	8.782142163	9.928201377	9.81069919	10.35084782	9.136902959	9.292870535
55289	2.703654454	3.10648233	0	1.164271398	2.138912742	1.975630186	1.3950628	0	1.486456956	0.994579724	0.410449655	2.146394549	1.056583528	0.784336461
52	9.550638291	11.26886822	10.44737835	10.63082134	10.19273875	10.53804184	10.90160638	11.09624373	10.54100598	10.64404192	10.55545948	10.68067361	10.63714642	10.38233935
53	10.22349145	10.76981314	9.968532308	10.07518817	10.08381875	9.658490889	10.76571399	10.71503217	9.458975171	10.42269418	9.989931171	9.889699706	10.34936196	10.37136751
54	10.29648735	9.959367789	11.82113902	8.83846209	9.57094576	10.7246478	11.15825219	9.857636137	6.343215924	10.01609582	9.524541323	9.444450491	9.678227226	9.79146426
51205	8.339606416	8.231794304	7.503165842	8.410508592	9.239370114	9.329399234	8.283150413	9.48373155	7.780989812	8.454017925	8.229473525	8.444746981	8.095516759	7.421761895
92370	8.935831571	7.275081565	7.172384502	8.641790937	9.431208618	8.672771123	8.506498804	8.617417507	8.782142163	8.581586254	9.035897688	9.36231887	9.230659356	9.627243492
55	5.076499238	5.776988289	5.743727684	4.544837733	3.951224091	4.388485762	3.535418472	4.920707753	2.77747232	4.132675541	3.857224626	3.920035993	1.956056652	4.848437663
93650	1.024319679	0	0	1.617627613	0.511468039	0	0	0	0	0	0	0	0	0
84519	4.690160047	7.074338448	4.77040093	5.074038677	3.951224091	4.894487967	5.593048944	3.760465811	3.506081414	4.077208811	4.50585918	4.372018779	4.608821068	3.982519061
93953	3.781611507	4.201696586	4.721662482	4.133349802	3.540808435	5.825953491	4.8434764	2.512757842	3.76701911	3.762487019	2.569539699	3.960298552	1.956056652	2.598389028
56	1.445355919	0.626485863	2.68699348	0	0.511468039	1.46456372	0	1.628586977	2.460742564	0.994579724	0	0.892818428	0.443606651	0
49	1.024319679	1.66680203	0.931002202	1.962067736	1.186880831	1.46456372	2.09085343	0.606915942	4.14310766	2.865067591	0.990737079	2.146394549	2.50589093	0.444879056
23205	3.45878882	3.012407769	2.468087998	2.929753131	2.393773123	1.975630186	3.316869805	2.63925532	3.037030731	2.493519248	1.986119636	2.514097005	1.815575429	2.509695842
81616	2.360617112	1.395775743	0	2.107654396	1.992297122	1.975630186	1.3950628	0	1.88869455	0.994579724	1.572647178	1.440208075	1.815575429	1.0590091
80221	7.028919396	11.6108861	7.116926121	10.60469434	10.52529176	9.597532105	9.44334039	10.99414331	8.873661577	9.735627945	10.14808223	10.49614643	11.14258103	9.636437747
197322	9.494529417	8.5130501	9.023733011	8.291726485	8.301350318	8.426930589	8.907544469	9.605928924	8.695437458	7.911977936	8.005772179	8.383140927	8.834169522	7.926790548
2180	10.35346765	9.987460291	10.66519981	11.27811035	10.90123604	11.20079913	9.949498603	6.715337431	9.653911098	11.07280682	9.593762534	11.31846203	8.989380591	10.86768044
2181	12.17854883	11.41479129	10.86004787	11.86735941	12.32616053	11.50064891	11.81640051	12.76578109	12.73912764	13.5850973	12.52580814	11.83204254	11.65355817	12.93633851
2182	7.414237878	8.780787112	8.804312396	9.102274943	9.422288514	8.935561994	9.01372018	6.430469278	10.10358012	9.833556948	9.287575721	9.197354566	8.978095503	10.21137803
51703	6.29550631	8.283064269	8.264146993	8.091829925	8.857914766	8.399625283	9.593953337	7.931924116	9.285501863	8.605064985	7.878399816	8.277554291	8.053125459	7.205822567
23305	6.496120362	4.284536342	1.895263839	2.472773683	2.965045436	1.742609903	3.633419585	3.91851027	1.233581332	4.381940881	5.38564846	3.12288803	4.134237371	5.605023117
116285	4.10425278	4.844611621	5.815157827	11.03210815	2.798548268	3.85715494	3.633419585	5.472812666	3.718471228	4.381940881	7.181283473	6.295374062	7.974773068	3.039682373
123876	0.427284346	0	0	0.499476	0	0	1.3950628	0	0	1.72935699	0.410449655	0	0.443606651	0
348158	0	0	0	0	0	0	0	0	0	0.994579724	0	0	0	0
6296	2.036292321	5.305934052	3.955591792	7.516306746	5.244369544	5.336761826	5.87993117	7.374130073	7.874465019	5.098360601	6.026888566	5.779679964	5.874615019	4.896635141
341392	0.427284346	0.626485863	0	0	0	0	0	0	0	0	0	0	0	0
54988	3.101397952	2.803537038	4.950393758	3.60536395	4.137151004	6.046844619	5.838818178	1.032806145	2.869279207	4.287339308	5.111298453	3.495912574	5.578953804	4.407658663
84532	9.395382896	12.71853044	8.548924762	9.241907618	9.880658132	10.03190958	10.65631482	11.00666648	9.91718483	10.50841697	9.334659889	11.23322594	9.407792054	8.202697359
55902	10.16016552	9.707767205	10.2184298	9.340035226	8.93519629	9.072326112	9.409160935	9.592308462	9.761159424	9.857420598	9.837411276	10.03521644	9.945399648	9.864265862
79611	7.8955771	4.541929846	9.702649925	8.39285919	8.650517221	7.898277897	6.134933485	5.040182303	8.552156091	8.419585239	7.937693959	5.71172616	8.850013641	7.612214622
58	1.617298483	3.356735419	3.044901159	4.884978813	2.393773123	3.108658266	7.910545598	2.374093548	1.88869455	7.598950973	2.858498283	3.38196164	3.560727181	2.760944774
59	11.8843065	12.81442815	12.7319446	13.7663762	13.24781139	13.66634799	12.4137109	9.97763626	15.08495945	13.66619767	13.40187149	13.38294291	12.39074509	13.65781518
345651	1.617298483	0.626485863	0	0.869871406	1.434081067	0	1.3950628	0	3.76701911	0.994579724	1.986119636	0	1.056583528	2.681966429
60	15.35356334	16.70810765	16.74819122	16.59188396	16.52958079	16.5261523	16.44323714	16.29235398	16.57977584	16.28613663	16.38357524	16.94812314	16.53153113	17.02631219
70	3.0422591	0	1.895263839	0	1.186880831	1.46456372	1.3950628	0	7.280973939	3.160242556	1.211822119	0.514400039	0.443606651	1.488412176
71	15.69396404	16.47641102	16.62635212	17.43695135	16.27091928	16.31079628	16.61763982	16.11571112	16.65541102	16.20114766	16.10782627	16.54958472	15.91917012	16.2488573
72	7.986609463	8.131855418	6.399323218	10.97037815	7.887188318	6.192811598	7.958603753	6.075160358	12.59193537	11.40555054	8.811248161	9.306799258	7.52827281	8.907640302
86	10.50144014	10.31450474	10.3181044	10.19409099	10.09733176	10.04878614	9.981253308	10.70557459	10.15863556	9.899505113	10.31428142	10.27655668	9.875794497	10.53797731
51412	7.066501484	0.626485863	0	0	0	0	0	0	0	0	0	0	0	0
10881	0.756425557	0	0	0	0	0.665938454	0	0.606915942	0.536550296	0	0	0	0	0
10880	0.427284346	0.626485863	0	0.869871406	0.511468039	1.119820952	0	0	0	0	0	0.514400039	0	0
81569	1.617298483	0	4.449706627	6.05246589	0.511468039	0.665938454	0	0	0	0.732573121	0.729618025	1.651683181	1.485426827	0
284382	0	0.626485863	0	0	0	0	0	0	0	0	0	0	0	0
87	12.41205534	12.47309973	12.46776973	13.25690943	12.82983658	12.95225513	12.48606604	12.26764005	13.27036701	13.17506144	12.99614659	12.6221732	12.32625288	13.33560656
88	2.036292321	1.061776198	3.195284597	0	0	1.119820952	3.535418472	0	0.926758532	1.991825659	3.256421951	2.618426617	0.782408565	2.087598618
89	1.25011268	1.395775743	1.492212122	1.962067736	0.888382834	0.665938454	0	0	0	1.216175457	2.101246657	1.440208075	0.782408565	0.784336461
81	12.94602433	13.52236466	13.45061925	13.57996472	13.64574849	13.15657221	12.97738476	13.00707658	14.35973088	13.63289214	13.40402628	13.52004046	13.65903907	13.27413591
55860	9.733478571	10.08674662	9.162583172	9.903215613	10.12398376	10.00580712	10.05162999	10.15695576	9.852572267	10.20868185	9.733608044	9.980594883	9.958509071	9.939418335
10121	11.27399352	11.65266445	10.89687101	11.85790268	11.33917481	11.45133343	11.55670238	10.41801576	11.08837166	11.44271832	11.5012909	11.67287033	11.63146434	11.89847325
10120	10.44904772	11.32223418	10.80992694	10.19866959	10.22335992	10.64179446	10.22570633	10.83099579	10.40621415	10.22870844	10.02498518	10.12595544	10.55598387	10.17217645
10097	12.05603674	12.51404509	12.34994508	12.26998561	12.06759886	11.9398909	12.27358734	10.68967272	12.08714437	12.80775111	12.64785934	12.33466581	12.79212143	13.0727311
57180	8.495150692	7.186300478	7.268832031	7.090553896	7.884592427	7.630058124	7.313873447	8.098098424	9.793743589	7.536053678	7.635019364	8.072430628	7.154629787	6.94755746
653857	4.461017711	6.163712061	4.388575307	5.473861577	4.238198352	4.744710077	3.969924068	3.227771876	5.101696294	5.07688399	5.083566551	5.381916662	5.523577637	5.539320136
10096	10.9513073	12.43252019	11.67958495	11.8370076	11.37035121	11.61810841	11.90368636	11.5962775	11.59868022	11.96399611	11.65744726	11.70839574	11.51455094	12.09504072
79913	8.52380343	8.325255978	7.538771714	8.143404644	7.842416976	8.036843417	8.197627078	9.255867969	7.385732142	7.927744783	7.505147801	8.009065508	7.687915215	7.44586986
64431	8.768049976	8.71323459	9.018698428	8.703227736	8.977218951	9.034094359	9.410889288	9.215822238	9.131787524	9.251996434	9.129570239	8.428693901	8.844374981	8.388302351
93973	8.591107898	8.117803594	9.144207521	8.611589589	8.979653265	8.209735541	8.763470667	8.790985716	9.409190006	8.794331707	9.390902802	8.245328798	8.787916921	8.51619366
139741	0.427284346	0.626485863	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	10.44655566	9.916987558	9.878301101	10.27772979	10.4341624	10.59823939	10.08448899	9.878628182	10.88962526	10.37281327	10.62445041	10.9669702	10.0357483	9.994086797
130399	3.41283571	5.117445707	3.676493094	2.849198652	2.798548268	3.455767771	3.430285273	2.512757842	1.701549057	5.989270734	2.858498283	5.012278139	4.010797738	2.314029397
90	8.867212936	10.02709653	9.207523202	10.12039666	9.854371144	9.783785663	9.74956896	9.154913526	10.24311113	10.09894138	9.971606778	9.619655469	9.600745126	10.58283041
92	7.739135893	8.559535788	7.881506174	8.408753464	8.799867324	8.148422687	7.934774777	6.656716591	10.33905931	8.763912792	8.476058406	8.872880152	7.799360636	9.377556953
93	8.526503152	8.500108099	8.314317678	8.338576396	8.461436063	9.559905122	7.558031095	7.141263153	8.913294252	8.851244947	8.884401027	8.216529074	8.093616689	8.21151261
94	8.425994224	8.63646113	9.27452655	9.064869382	8.611809764	9.413708946	9.475077585	7.422082432	7.821777808	9.139713519	8.757411679	8.844926035	8.5592004	8.662240399
95	9.512341667	9.787159641	9.332481935	9.556043092	9.300036071	9.452878316	9.330988115	10.21206637	9.405313385	9.472260098	9.707577073	9.463345354	10.4935897	8.523461591
91703	1.024319679	5.346797369	1.492212122	2.361038407	1.434081067	1.742609903	3.430285273	2.963326148	2.679423798	3.105845667	1.572647178	1.999567127	1.956056652	1.289598422
97	7.013608532	6.978058311	6.252652188	6.827008551	6.923927617	6.872165115	6.515139996	6.67897894	5.672583747	4.989443322	5.904623784	6.263549026	5.393704491	4.015105014
98	7.062786594	7.097435927	7.421595288	6.587354489	5.910466449	7.042326962	7.261194172	6.312009815	7.093823179	6.019014647	6.047852439	6.554030083	5.983691374	5.823176142
132612	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161931	1.445355919	0	2.209921191	0.499476	0.511468039	1.180784391	0.859969548	0	1.504874589	0.994579724	1.403485883	0.892818428	0.782408565	1.0590091
161823	7.217798763	7.767957314	6.414735967	7.081767821	6.531216126	7.595470839	7.299017478	7.198891901	7.769121111	7.571613865	7.309527285	6.778924751	8.224402099	7.330832644
102	10.4928392	11.46310847	9.229479053	10.49306996	10.4557426	9.432201961	9.807138341	9.347903901	10.7018279	12.34123835	10.68395702	10.19137586	10.4975469	12.30328057
4185	4.505478128	6.163712061	5.446623475	3.276273321	3.373188814	3.530907243	3.430285273	5.192387511	4.785529628	2.493519248	2.983805361	2.514097005	1.956056652	2.087598618
8038	9.993111336	10.73202909	11.0509235	12.10824667	12.29827589	11.89837291	11.51592913	5.750185747	7.564603	11.02825357	11.76052515	10.40427271	11.19292364	13.99090503
8751	12.66917697	11.78414491	12.2745421	11.97691169	11.06781193	11.47970878	11.96411282	11.84631039	10.76742977	11.68898743	12.46287182	11.88859619	11.5737453	11.2457521
6868	8.654178446	9.199014395	9.22073672	9.327083046	9.141672396	9.138389054	8.569753477	8.224567061	9.670754668	9.772657184	9.461964152	9.164342808	9.501055331	9.725910511
8749	0.427284346	0	0	0	0	0	0	0	0	0	0	0	0	0
8728	8.929726802	9.012617835	9.708915057	9.194812985	9.564473822	9.098806665	9.011443643	5.171599159	4.55612895	9.025295177	8.266946259	7.543022537	8.71933474	9.694813696
8748	1.024319679	2.419592823	1.895263839	1.408657521	0.888382834	1.119820952	1.3950628	2.374093548	0.536550296	1.408222729	1.572647178	1.192320435	0.443606651	0
145241	0.427284346	2.686545348	0	0.869871406	0	1.46456372	0.859969548	1.032806145	2.054327554	1.216175457	2.207861624	2.514097005	1.659924558	0.444879056
8747	0.756425557	3.634500338	1.492212122	1.962067736	2.884207159	3.007051943	2.558267634	2.63925532	2.77747232	3.7972413	3.921303024	3.12288803	4.163514834	2.205236098
53616	5.269324948	3.431342148	3.775335048	4.492769718	4.682623858	6.437012957	3.892866988	6.292890315	5.62069197	5.761891589	5.943715079	6.74475447	5.71370956	5.955005854
8745	1.909696312	1.894875955	4.187902321	5.829200099	5.148450143	5.290158961	4.574095451	2.220670465	3.668232611	5.426757871	5.40818196	3.699918034	6.363885938	6.579270676
10863	5.871794375	6.658988329	6.429985796	6.464313757	6.277904802	7.135554364	7.564256973	3.644583125	5.949948073	6.27464372	5.896676309	5.835946806	6.810457243	6.540614733
11086	0.427284346	0.626485863	1.492212122	7.810041371	1.186880831	2.176195095	0.859969548	0	0.926758532	0.412293771	0.729618025	1.440208075	2.411426246	0.444879056
2515	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203102	5.681454888	1.66680203	3.676493094	1.962067736	2.965045436	5.565021323	3.633419585	2.048968509	6.927591911	2.653793793	5.40818196	3.549681491	3.035641503	4.675725619
80332	4.343471783	5.13986646	4.77040093	7.937251984	8.669759552	7.500524033	8.229316334	0.606915942	3.668232611	6.293020952	6.396740054	7.355733415	6.674700742	7.569404506
1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255926	0.427284346	0	0	0	0	0	0	0	0	0	0	0	0	0
8755	13.08109002	15.65359104	14.66675278	14.36912921	13.57297078	15.29324878	15.32463386	5.840390216	10.12329916	14.42287106	14.6138703	16.28010529	12.71261751	13.71163896
8756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	9.173101442	8.805544944	9.169413956	7.699523871	8.311047569	7.891165794	8.782286675	9.430050005	4.410924469	7.601411277	5.789171051	7.984872416	8.162305218	6.819633699
8754	9.913370254	11.22955037	11.50742044	10.56260277	10.63591107	9.470879074	10.35612015	11.9189895	10.4468266	11.26639267	11.70969398	10.80748003	11.83765813	12.65470237
27299	5.897046762	7.914971061	6.654320964	6.464313757	5.077499379	4.806499356	6.773396396	6.832519169	1.233581332	6.198702371	3.645920651	5.086915362	5.77189878	4.357706822
81794	8.921546419	6.841076186	7.634032692	7.836396308	8.275827459	7.936779846	7.335874447	5.385258456	7.040512205	7.214783429	6.362529503	6.128726442	6.29940586	7.896497706
81792	8.173877476	8.140221385	8.106983191	8.465579056	9.207533695	8.346015906	7.124631077	2.512757842	6.118446943	8.590280889	9.411266917	6.943628352	8.784387505	10.56986311
11093	7.816170239	7.504087228	6.474792941	6.971940097	7.260594038	7.659657024	6.846736503	6.233960898	6.727468521	5.770659929	6.164963226	6.287483377	7.132591237	5.410497144
140766	6.257016277	6.965558052	8.580018444	8.438306576	7.549846263	7.919406232	8.782286675	3.644583125	2.202887833	6.726169103	6.868354645	2.97351944	7.820193645	8.15413963
170689	5.888677504	5.226231062	5.905211283	8.905966374	8.578473082	9.940992128	8.453819207	9.274263525	4.179431429	6.739630764	9.249081682	7.772340969	10.21248654	6.579270676
170690	6.544865546	6.770974365	7.243160652	8.852734546	9.972124395	9.305524168	6.740785928	1.032806145	8.693868838	7.933613355	8.177945191	4.66783537	8.366511501	10.03538486
170691	3.951932762	6.338686472	5.616204761	8.510463534	6.944011551	5.765012205	5.593048944	4.616804647	10.73728791	6.951120326	6.254743308	8.157144792	6.664497062	7.307997658
170692	0.427284346	3.812559834	4.77040093	5.720196367	8.454452296	7.829254655	4.669588082	0	6.833848961	5.708126525	4.125494063	3.878617454	2.903057557	6.6484223
171019	6.914045423	2.09173368	0	2.576473765	5.526895119	1.975630186	4.923144425	9.486889712	5.279549297	4.708336244	4.547054922	1.651683181	6.189838393	0.444879056
9510	7.876659981	9.011098078	8.759744739	9.712921065	8.482185578	8.361537218	8.679930432	7.214217108	10.56480113	10.69617887	9.124475478	10.29044157	8.98835834	9.698580878
80070	1.617298483	0	0.931002202	2.849198652	3.183502394	0	0	0	0	2.213844945	1.724039016	0	0	4.108683354
9509	8.154812541	9.378276646	9.831694867	9.963046049	10.50304337	9.871321729	9.288374482	3.760465811	8.225119691	8.890996232	9.409871825	8.658667788	9.654578749	11.45359361
9508	3.886198941	3.634500338	3.676493094	4.843998914	4.477457151	4.680155545	4.242594885	6.595612563	7.005532483	5.299233666	5.315848771	4.761955396	4.731199537	5.90371076
9507	8.61666793	9.789820851	10.01478055	9.401342902	8.594443673	10.12351735	9.700952547	8.532343846	7.322170628	9.735627945	8.950188433	7.868039121	8.979125049	9.860347374
11096	5.120044987	7.038981523	7.398524813	8.235403489	8.305236861	7.663836299	6.449389694	5.871138881	7.748112996	8.839832389	8.836393152	7.385608775	6.942997669	10.14113744
11174	5.439390426	6.562686614	7.367177959	6.536820682	7.575820573	6.314767209	5.203976338	2.755549921	2.679423798	7.026273335	6.11788617	4.514033865	5.991875532	7.817859211
11173	7.197616758	8.775426249	8.807235122	8.168517186	8.158260774	8.000954343	8.157011362	6.430469278	8.921359859	7.689593401	6.996578562	6.137532213	7.737430563	8.612522061
11095	3.316305067	2.911749097	2.68699348	5.126246041	3.78303751	4.388485762	2.910732662	1.854035555	3.187292681	4.989443322	4.772234065	5.367018037	7.121444415	4.695965983
56999	6.657512821	7.600208044	8.374673062	7.917637022	7.441002014	7.316335844	7.671958512	5.171599159	11.16481456	8.838790135	8.195866269	8.108707918	7.924351718	7.737130368
92949	5.319993587	7.108848504	6.85972734	6.624125758	6.316931334	6.417344529	6.661699727	2.863185199	7.194874038	8.427924157	6.884517335	5.723471189	6.942997669	7.346924987
9719	8.468727074	6.996606807	8.238391841	9.293233441	8.053550705	9.454085393	7.090528491	5.311172484	4.410924469	7.79220464	7.432802439	6.817793352	7.276882784	9.635783045
57188	5.230118454	8.538591317	4.721662482	6.471057365	6.893268763	6.513108545	5.797134927	7.439574105	9.263463112	8.883941502	6.441128207	6.074732338	7.476720286	8.041976674
54507	5.729104068	8.192109322	6.988910729	7.364918182	7.533371007	7.035892191	7.141384763	7.97454652	8.095677622	8.248095027	7.775984197	7.13166356	7.516974838	6.777510456
339366	3.316305067	5.544639935	6.31968657	6.971940097	5.232495758	5.177750398	5.879330832	6.456479272	1.88869455	4.404651119	6.981630068	6.046955906	8.366511501	6.436181832
11033	9.570753027	6.069317643	9.686216337	6.696064777	8.08026752	7.32965464	7.962898318	8.330607696	4.868187938	5.830929655	7.118880873	6.167506461	8.509985555	5.834086701
55803	7.036514323	7.686519436	8.058745084	7.758599666	7.940641892	8.3692357	9.26563122	7.188583901	5.949948073	8.241802057	6.904469647	7.007468	7.392675476	8.174119745
104	9.199559477	8.060184684	8.225339527	9.619641715	9.568522208	9.699781165	8.290679662	7.928831012	9.490046393	9.464849573	8.747503882	9.127246092	9.007658325	10.0148836
