	TCGA-3C-AAAU-01A-11R-A41B-07	TCGA-3C-AALI-01A-11R-A41B-07	TCGA-3C-AALJ-01A-31R-A41B-07	TCGA-3C-AALK-01A-11R-A41B-07	TCGA-4H-AAAK-01A-12R-A41B-07	TCGA-5L-AAT0-01A-12R-A41B-07	TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-5T-A9QA-01A-11R-A41B-07	TCGA-A1-A0SB-01A-11R-A144-07	TCGA-A1-A0SD-01A-11R-A115-07	TCGA-A1-A0SE-01A-11R-A084-07	TCGA-A1-A0SF-01A-11R-A144-07	TCGA-A1-A0SG-01A-11R-A144-07	TCGA-A1-A0SH-01A-11R-A084-07
8086	9.34504414	9.796011371	9.500804841	9.603619484	9.679742048	9.899949137	9.630014062	9.772200738	9.477337132	9.045307537	9.316159095	9.975078708	9.491707216	9.036262645
729522	1.25011268	5.183696909	1.895263839	0	0.511468039	0	0	0	9.681875622	0.412293771	0.410449655	0	0	0.444879056
65985	10.08799129	9.709642339	10.58316891	9.74666295	9.71596199	9.704860382	9.870056881	10.2278828	11.09343717	9.617863945	9.700895517	8.794316109	10.75001788	9.681550464
344752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126767	0	0	1.492212122	0	0	0	0	0	0	0	0	0	0	0
343066	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444879056
13	0	1.061776198	0.931002202	1.962067736	0.511468039	0	0	0	0	0	0.410449655	0	0.443606651	0
51166	2.703654454	4.670715726	5.767932824	5.860356997	5.999519773	5.154178119	5.07038074	6.852244844	7.654442702	5.346917897	4.90493201	4.279575297	4.948614863	6.540614733
79719	10.34584619	11.79037086	10.41133525	10.71809778	10.81662626	10.88673273	11.05592933	11.33606297	9.730884799	10.93162087	10.68827943	9.977532945	11.39986909	10.40365119
22848	9.017735158	9.730108527	9.153424603	9.50930333	9.407900584	9.887494503	9.438264778	8.433231974	10.03523391	10.11150725	9.986191329	9.375406142	8.774933298	10.21664208
14	11.0043136	11.54152278	11.16297729	11.43228899	11.6845901	11.81062883	11.5974937	11.71729462	11.10292433	11.22691283	11.47284307	11.52740072	11.66095517	11.22084637
15	0.427284346	1.66680203	1.492212122	0.499476	0.511468039	0	1.3950628	0	1.486456956	0.412293771	0.729618025	0.514400039	0	0
57505	9.432326211	8.887224881	8.783685495	8.75801096	9.177037759	9.18999945	9.067306086	9.59908603	9.005875175	8.864607437	8.757400677	8.685756577	7.951798165	8.488883701
80755	8.869340906	8.71323459	8.613798671	8.950080801	9.374068327	9.450461128	9.610593216	10.23666469	9.384119547	8.510076573	8.940557917	9.354786903	9.153414469	8.951450251
16	12.10674776	12.15859786	11.32061081	11.05248627	11.2057023	10.99020518	11.11808383	13.0688668	11.75333778	11.09326774	11.35054355	10.95176043	10.9989715	11.40715313
60496	9.661625449	9.40860509	9.608609121	9.380001018	8.864515512	9.322806744	9.428059877	9.343264789	9.948437466	9.280672654	9.195025181	9.879834551	10.22639196	9.160737198
132949	8.121276555	7.534025018	7.580370134	7.62588853	8.295500341	8.301110205	8.11521848	8.388899859	8.589754126	8.385738181	8.671527622	8.056268121	8.11999313	8.478710172
10157	5.54965685	6.185432482	6.269704577	7.525795619	8.596030939	8.893472642	8.360313353	7.188583901	8.697004375	8.371397247	8.00946195	7.585473365	6.00810587	8.388302351
26574	10.56977151	12.90129418	11.03542789	10.90402046	10.36229355	10.17493579	10.29285501	10.90093313	9.846231437	10.37389275	10.53991758	10.52327721	9.91451908	10.35554733
9625	9.277504079	6.763772734	7.19040646	6.918666493	5.182656547	5.795805903	4.574095451	7.919916854	6.959275187	6.218066229	6.740989605	6.046955906	4.711511426	5.996402306
18	9.280145544	7.914971061	8.555892827	10.75033484	9.7376969	9.736950491	9.649177124	8.428859271	8.83148365	9.821475528	10.97136119	10.01624377	12.58718248	9.909392103
10349	4.107135456	4.243707158	4.817546516	4.619589081	4.983600177	4.950300432	4.303408156	0.606915942	3.616181231	4.574519357	4.50585918	4.691947261	3.269048112	4.078157214
79963	6.324646815	6.601255262	7.294803601	7.111898297	5.863685758	7.695535941	7.510202406	5.321964162	7.468427733	6.026941667	6.59569759	6.737068833	6.412740885	6.426159065
26154	8.331911188	9.40860509	0	10.4835127	3.48707468	4.806499356	7.865880471	2.963326148	3.616181231	6.661632752	7.248392518	3.960298552	9.913442363	7.79692605
