sample	value
TCGA-A8-A090-01A	0.4461
TCGA-A8-A090-01A	0.2195
TCGA-A8-A090-01A	0.1263
TCGA-A8-A090-01A	0.2056
TCGA-A8-A090-01A	0.4035
TCGA-A8-A090-01A	0.6198
TCGA-A8-A090-01A	0.3899
TCGA-A8-A090-01A	0.5732
TCGA-A8-A090-01A	0.3849
TCGA-A8-A090-01A	0.4851
TCGA-A8-A090-01A	-0.456
TCGA-A8-A090-01A	-0.5278
TCGA-A8-A090-01A	-0.4875
TCGA-A8-A090-01A	-0.5115
TCGA-A8-A090-01A	-0.4337
TCGA-A8-A090-01A	0.0639
TCGA-A8-A090-01A	-0.4373
TCGA-A8-A090-01A	-0.0511
TCGA-A8-A090-01A	-0.4898
TCGA-A8-A090-01A	0.3169
TCGA-A8-A090-01A	0.5707
TCGA-A8-A090-01A	0.3048
TCGA-A8-A090-01A	0.1559
TCGA-A8-A090-01A	0.3807
TCGA-A8-A090-01A	0.1252
TCGA-A8-A090-01A	0.3295
TCGA-A8-A090-01A	0.128
TCGA-A8-A090-01A	0.3557
TCGA-A8-A090-01A	0.1325
TCGA-A8-A090-01A	0.3952
TCGA-A8-A090-01A	0.0907
TCGA-A8-A090-01A	0.1933
TCGA-A8-A090-01A	0.1156
TCGA-A8-A090-01A	0.3636
TCGA-A8-A090-01A	0.5149
TCGA-A8-A090-01A	0.6269
TCGA-A8-A090-01A	0.5378
TCGA-A8-A090-01A	0.4166
TCGA-A8-A090-01A	0.1642
TCGA-A8-A090-01A	0.3353
TCGA-A8-A090-01A	0.5534
TCGA-A8-A090-01A	0.7711
TCGA-A8-A090-01A	0.5925
TCGA-A8-A090-01A	0.4062
TCGA-A8-A090-01A	0.6124
TCGA-A8-A090-01A	0.1235
TCGA-A8-A090-01A	0.3794
TCGA-A8-A090-01A	0.0662
TCGA-A8-A090-01A	0.3343
TCGA-A8-A090-01A	0.0268
TCGA-A8-A090-01A	0.3626
TCGA-A8-A090-01A	0.1822
TCGA-A8-A090-01A	0.3887
TCGA-A8-A090-01A	0.5865
TCGA-A8-A090-01A	0.3669
TCGA-A8-A090-01A	0.644
TCGA-A8-A090-01A	0.4258
TCGA-A8-A090-01A	0.3173
TCGA-A8-A090-01A	-0.4676
TCGA-A8-A090-01A	-0.1169
TCGA-A8-A090-01A	0.0857
TCGA-A8-A090-01A	0.1717
TCGA-A8-A090-01A	0.0919
TCGA-A8-A090-01A	1.5807
TCGA-A8-A090-01A	0.1558
TCGA-A8-A090-01A	0.1063
TCGA-A8-A090-01A	0.1634
TCGA-A8-A090-01A	-0.1288
TCGA-A8-A090-01A	-0.9767
TCGA-A8-A090-01A	-0.11
TCGA-A8-A090-01A	-0.9633
TCGA-A8-A090-01A	-0.1286
TCGA-A8-A090-01A	-0.9208
TCGA-A8-A090-01A	-0.1162
TCGA-A8-A090-01A	-0.9638
TCGA-A8-A090-01A	-0.0831
